mecca,city,year,Global avg,year,Mecca moving avg,global moving avg,Mecca Avg tempreture,Global Avg tempreture
19.05,Mecca,1843,5.78,1750,,,24.86727273,7.984545455
22.46,Mecca,1844,6.74,1751,,,25.38181818,8.289545455
22.87,Mecca,1845,6.78,1752,,,25.36409091,8.055
23.98,Mecca,1846,6.86,1753,,,25.49954545,7.872727273
24.13,Mecca,1847,6.92,1754,,,25.69454545,7.980454545
24.53,Mecca,1848,6.94,1755,,,25.77363636,8.191363636
24.74,Mecca,1849,6.98,1756,,,25.83545455,8.142727273
24.75,Mecca,1850,7.05,1757,,,26.44681818,8.301363636
24.85,Mecca,1851,7.08,1758,,,,8.657727273
24.96,Mecca,1852,7.19,1759,,,,8.631818182
24.96,Mecca,1853,7.24,1760,,,,8.822727273
24.97,Mecca,1854,7.36,1761,,,,9.382727273
24.98,Mecca,1855,7.37,1762,,,,
25,Mecca,1856,7.38,1763,,,,
25.03,Mecca,1857,7.39,1764,,,,
25.03,Mecca,1858,7.45,1765,,,,
25.04,Mecca,1859,7.5,1766,,,,
25.05,Mecca,1860,7.51,1767,,,,
25.08,Mecca,1861,7.56,1768,,,,
25.09,Mecca,1862,7.59,1769,,,,
25.11,Mecca,1863,7.62,1770,,,,
25.11,Mecca,1864,7.63,1771,24.39863636,7.178181818,,
25.12,Mecca,1865,7.63,1772,,,,
25.13,Mecca,1866,7.64,1773,,,,
25.13,Mecca,1867,7.65,1774,,,,
25.16,Mecca,1868,7.68,1775,,,,
25.17,Mecca,1869,7.69,1776,,,,
25.17,Mecca,1870,7.69,1777,,,,
25.18,Mecca,1871,7.69,1778,,,,
25.19,Mecca,1872,7.7,1779,,,,
25.2,Mecca,1873,7.72,1780,,,,
25.21,Mecca,1874,7.74,1781,,,,
25.21,Mecca,1875,7.76,1782,,,,
25.21,Mecca,1876,7.77,1783,,,,
25.23,Mecca,1877,7.8,1784,,,,
25.24,Mecca,1878,7.83,1785,,,,
25.25,Mecca,1879,7.85,1786,,,,
25.26,Mecca,1880,7.85,1787,,,,
25.26,Mecca,1881,7.85,1788,,,,
25.26,Mecca,1882,7.86,1789,,,,
25.27,Mecca,1883,7.86,1790,,,,
25.27,Mecca,1884,7.9,1791,,,,
25.3,Mecca,1885,7.9,1792,,,,
25.31,Mecca,1886,7.91,1793,25.215,7.771363636,,
25.32,Mecca,1887,7.92,1794,,,,
25.33,Mecca,1888,7.94,1795,,,,
25.33,Mecca,1889,7.95,1796,,,,
25.34,Mecca,1890,7.95,1797,,,,
25.35,Mecca,1891,7.96,1798,,,,
25.36,Mecca,1892,7.97,1799,,,,
25.36,Mecca,1893,7.98,1800,,,,
25.36,Mecca,1894,7.98,1801,,,,
25.38,Mecca,1895,7.98,1802,,,,
25.39,Mecca,1896,7.98,1803,,,,
25.4,Mecca,1897,7.98,1804,,,,
25.4,Mecca,1898,7.98,1805,,,,
25.42,Mecca,1899,7.99,1806,,,,
25.42,Mecca,1900,8,1807,,,,
25.42,Mecca,1901,8.01,1808,,,,
25.42,Mecca,1902,8.02,1809,,,,
25.43,Mecca,1903,8.02,1810,,,,
25.44,Mecca,1904,8.02,1811,,,,
25.45,Mecca,1905,8.03,1812,,,,
25.47,Mecca,1906,8.04,1813,,,,
25.47,Mecca,1907,8.06,1814,,,,
25.5,Mecca,1908,8.07,1815,25.39818182,7.992272727,,
25.51,Mecca,1909,8.08,1816,,,,
25.51,Mecca,1910,8.09,1817,,,,
25.51,Mecca,1911,8.09,1818,,,,
25.53,Mecca,1912,8.09,1819,,,,
25.53,Mecca,1913,8.09,1820,,,,
25.53,Mecca,1914,8.09,1821,,,,
